,Index,Highest Charting Position,Number of Times Charted,Song Name,Artist,Artist Followers,Song ID,Duration (ms)
245,246,4,10,Your Power,Billie Eilish,47014200,042Sl6Mn83JHyLEqdK7uI0,245897
246,247,189,1,Lieben wir,Shirin David,558345,49gzU1IS1B6P3GATSZ5eCE,155363
247,248,8,37,Whoopty,CJ,180454,5vGLcdRuSbUhD8ScwsGSdA,123263
248,249,55,17,Batom de Cereja - Ao Vivo,Israel & Rodolffo,1097789,2MZQAvsA7aZDssppBLRxYp,140942
249,250,11,33,Prisoner (feat. Dua Lipa),Miley Cyrus,15770302,5JqZ3oqF00jkT81foAFvqg,169333
250,251,136,15,Stereo Hearts (feat. Adam Levine),Gym Class Heroes,1275345,0qOnSQQF0yzuPWsXrQ9paz,210960
251,252,32,36,Reloj,"Rauw Alejandro, Anuel AA",6080597,7r9ZhitdQBONTFOiJW5mr8,231595
252,253,81,8,malibu,sangiovanni,384097,01hEpx8jnOG4q7nDK14Rhi,166216
253,254,101,4,"Eladio Carrion: Bzrp Music Sessions, Vol. 40","Bizarrap, Eladio Carrion",3126961,1VauUM5CBX7nkLcgafQL2B,164896
254,255,117,27,Do I Wanna Know?,Arctic Monkeys,12369079,5FVd6KXrgO9B3JPmC8OPst,272394
255,256,43,2,LUMBERJACK,"Tyler, The Creator",6777818,0BiK5BbYNFLb88CCOxBFJe,138312
256,257,47,1,LEMONHEAD (feat. 42 Dugg),"Tyler, The Creator",6777818,5fbHRCsGpFIOLRtlhCRFDR,130980
257,258,59,1,HOT WIND BLOWS (feat. Lil Wayne),"Tyler, The Creator",6777818,3JJL91ilRV6fXhKqu0FGXs,155293
258,259,63,1,CORSO,"Tyler, The Creator",6777818,46oHvXwpEZOFX518we1nJD,146482
259,260,69,1,SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues),"Tyler, The Creator",6777818,3EG9FJ0ToLfgnc1IG2Z1wz,588139
260,261,73,1,SIR BAUDELAIRE (feat. DJ Drama),"Tyler, The Creator",6777818,4ydmav4vl7hebadtfZtMrg,88625
261,262,82,1,MASSA,"Tyler, The Creator",6777818,2goHCrsDJaflEwQ930ef0o,223719
262,263,85,1,RUNITUP (feat. Teezo Touchdown),"Tyler, The Creator",6777818,13HsOwrwTA5HgLuoaDHncP,229565
263,264,108,1,MANIFESTO (feat. Domo Genesis),"Tyler, The Creator",6777818,6qouBO0wJtYc3k7DfKRUBx,175123
264,265,121,1,Get Into It (Yuh),Doja Cat,8640063,0W6I02J9xcqK8MtSeosEXb,138293
265,266,132,1,WILSHIRE,"Tyler, The Creator",6777818,1pbbsI2KGPOMu0HmuGccBu,515865
266,267,141,1,RISE! (feat. DAISY WORLD),"Tyler, The Creator",6777818,4Hta7Oy5W9HD0UgT1P8PPV,203588
267,268,165,1,Naked,Doja Cat,8640063,0CsR9Y9SnC6ZWmekmVqSHz,223560
268,269,50,3,Having Our Way (feat. Drake),Migos,11690201,2NM0qHzx4Ohy8iXHEEgwlO,278191
269,270,176,1,Payday (feat. Young Thug),Doja Cat,8640063,2HolBGR6tpiWI80MXoV1dJ,212947
270,271,179,1,Been Like This,Doja Cat,8640063,7y3xU9vEC1s8DSuuoSYKih,177373
271,272,138,3,MILLE (feat. Orietta Berti),"Fedez, Achille Lauro",1650683,6qdMhG7pRFi0csRlFGvLE4,175924
272,273,10,49,UN DIA (ONE DAY) (Feat. Tainy),"J Balvin, Dua Lipa, Bad Bunny",29051363,0EhpEsp4L0oRGM0vmeaN5e,232253
273,274,1,55,Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo",100604,1xQ6trAsedVPCdbtDAmk0c,171375
274,275,59,6,Poblado,"Crissin, Totoy El Frio, Natan & Shander",29051363,1WedZeiezCmCEOzLwhx0hV,393280
275,276,17,30,Hecha Pa' Mi,Boza,278679,3VvA1wSxukMLsvXoXtlwWx,186133
276,277,146,1,working,"Tate McRae, Khalid",1647262,31sSFHIe4NaxltVFOEIcTa,210220
277,278,112,3,Petrouchka (feat. PLK),Soso Maness,289437,03y045SZqaC94yfXl1cU4E,189933
278,279,11,6,p r i d e . i s . t h e . d e v i l (with Lil Baby),J. Cole,14097410,5W8jRrZ6tWrTrqnKRtIQBf,218210
279,280,6,6,m y . l i f e (with 21 Savage & Morray),J. Cole,14097410,1D3z6HTiQsNmZxjl7F7eoG,218802
280,281,96,77,Jocelyn Flores,XXXTENTACION,29539807,7m9OqQk4RVRkw9JJdeAw96,119133
281,282,66,2,No Return (with The Kid LAROI & Lil Durk),Polo G,4840346,23OYT3SFtoJqhiAUqktbc1,168729
282,283,1,78,The Box,Roddy Ricch,6603627,0nbXyq5TXYPCO7pr3N8S4I,196653
283,284,31,19,Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,Nathan Evans,140812,3iw6V4LH7yPj1ESORX9RIN,116750
284,285,170,13,Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,2562082,3bidbhpOYeV4knp8AIu8Xn,258343
285,286,6,26,Anyone,Justin Bieber,1250353,2RwMwWo43LapkA4raptxaB,190779
286,287,39,45,my ex's best friend (with blackbear),Machine Gun Kelly,3864419,7kDUspsoYfLkWnZR7qwHZl,139461
287,288,133,20,Just the Way You Are,Bruno Mars,32574754,7BqBn9nzAq8spo5e7cZ0dJ,220733
288,289,17,78,HIGHEST IN THE ROOM,Travis Scott,17719446,3eekarcy7kvN4yt5ZFzltW,175721
289,290,7,65,Break My Heart,Dua Lipa,27142474,017PF4Q3l4DBUiWoXk4OWT,221820
290,291,2,44,Laugh Now Cry Later (feat. Lil Durk),Drake,56308172,2SAqBLGA283SUiwJ3xOUVI,261493
291,292,175,2,We Are The People (feat. Bono & The Edge) - Official UEFA EURO 2020 Song,Martin Garrix,14917926,2iL0W5qi0ivZ9WRXbZ74cS,217000
292,293,23,19,Ella No Es Tuya - Remix,"Rochy RD, Myke Towers, Nicki Nicole",319192,5YYW3yRktprLRr47WK219Y,218107
293,294,176,6,In the End,Linkin Park,19584111,60a0Rd6pjrkxjPbaKzXjfq,216880
294,295,119,6,No Role Modelz,J. Cole,14097410,62vpWI1CHwFy7tMIcSStl8,292987
295,296,7,74,SICKO MODE,Travis Scott,17719446,2xLMifQCjDGFmkHkpNLD9h,312820
296,297,161,41,Something Just Like This,"The Chainsmokers, Coldplay",18191658,6RUKPb4LETWmmr3iAEQktW,247160
297,298,84,9,You,"Regard, Troye Sivan, Tate McRae",152226,2cc8Sw1OnCuA5bV8nqWqpE,233386
298,299,84,3,Straightenin,Migos,11690201,3X2r2CnHOJeV5YekPTgBnK,255532
299,300,71,4,GANG GANG (with Lil Wayne),Polo G,4840346,4VW44pawoOHPUjlN7DX5vk,178776
300,301,106,1,Black Hearted,Polo G,4840346,25qk9xa71F1POdI4vj7rbi,190509
301,302,124,1,Lost,Maroon 5,32262679,18XlJEroUwFo0tLZxscgXE,172598
302,303,128,1,Avalanche,Migos,11690201,4KD0lLJ4OGonZhBeKtct9I,206272
303,304,59,18,My Head & My Heart,Ava Max,3911473,1KixkQVDUHggZMU9dUobgm,174760
304,305,166,1,Malibu (feat. Polo G),Migos,11690201,3v1zVVdzNVNt7vmI9VG2gq,248652
305,306,36,26,GIRL LIKE ME,"Black Eyed Peas, Shakira",5963840,1zLBsSVxETQOfINOLYvT5m,222523
306,307,179,1,Clueless (with Pop Smoke & Fivio Foreign),Polo G,4840346,4CPcZHzSvIBM8AKhdHUwnL,165405
307,308,181,1,Modern Day,Migos,11690201,2Igem6Q4sfvXGJ3JkG7Baw,241790
308,309,2,31,Therefore I Am,Billie Eilish,1250353,0aACcc1jEv2C6VSmmJbllJ,174321
309,310,12,29,TE MUDASTE,Bad Bunny,36142273,5RubKOuDoPn5Kj5TLVxSxY,130014
310,311,108,6,Tipo Gin - Ao Vivo,MC Kevin o Chris,2753929,4llr8mcoauwrHBtjGb7F9S,159147
311,312,39,6,Higher Power,Coldplay,1250353,4rOEoKL0fHrxBMhVljpbGW,211295
312,313,54,4,SUN GOES DOWN,Lil Nas X,5473565,34eF4BoV8FPk0uhAAoqU7h,168276
313,314,195,1,Painting Pictures,Polo G,4840346,25uBGaikHi0DhMiGMfuXYE,137692
314,315,1,55,Rain On Me (with Ariana Grande),Lady Gaga,18572085,24ySl2hOPGCDcxBxFIqWBu,182200
315,316,97,1,Hats Off (feat. Travis Scott),"Lil Baby, Lil Durk",7805880,4lUmnwRybYH7mMzf16xB0y,257428
316,317,117,1,Last Train Home,John Mayer,5178156,0tgBtQ0ISnMQOKorrN9HLX,187307
317,318,126,1,Voice of the Heroes,"Lil Baby, Lil Durk",7805880,4lUmnwRybYH7mMzf16xB0y,257428
318,319,134,1,0X1=LOVESONG (I Know I Love you),"TOMORROW X TOGETHER, Seori",4136553,1Z8TPHiKeCUyClxV6WTTIf,202204
319,320,10,4,a m a r i,J. Cole,14097410,2cnKST6T9qUo2i907lm8zX,148421
320,321,72,5,NEVER LEFT,Lil Tecca,4016497,21UkXrc9kD48rNpTMI2ecz,168727
321,322,27,8,Solid (feat. Drake),"Young Stoner Life, Young Thug, Gunna",61930,6rTInqW3YECMkQsBEHw4sd,215693
322,323,21,35,La Nota,"Manuel Turizo, Rauw Alejandro, Myke Towers",7904381,7ndTONDDRFGiPnnhOzOXxq,216107
323,324,47,32,Golden,Harry Styles,16112621,45S5WTQEGOB1VHr1Q4FuPl,208907
324,325,127,2,CORALINE,Måneskin,3377762,7HMz8o0m7ASQ3ImFPfhWTY,300413
325,326,3,33,BICHOTA,KAROL G,1250353,4nYLZSNXJyPq8Jj3cEdykP,178947
326,327,96,10,Slumber Party (feat. Princess Nokia),Ashnikko,1246335,11ZulcYY4lowvcQm4oe3VJ,178405
327,328,170,1,Killer (feat. Jack Harlow & Cordae) - Remix,Eminem,46785561,7zl7kehxesNEo2pYkKXTSe,236666
328,329,105,7,Liberdade (Quando o Grave Bate Forte),"Alok, Mc Don Juan, Dj GBR",10334543,2QLbRVzixE282JSQjBz2DG,150462
329,330,108,51,All Girls Are The Same,Juice WRLD,19085118,4VXIryQMWpIdGgYR4TrjT1,165820
330,331,175,1,734,Juice WRLD,19085118,6vB8bdQCCTDDIH8fhRfuXA,196147
331,332,85,16,Boy With Luv (feat. Halsey),BTS,37106176,5KawlOMHjWeUjQtnuRs22c,229773
332,333,82,10,Disco Arranhado - Funk Remix,"Malu, DJ Lucas Beat",74814,2Gjt4rUHBUH0rMKpBg0hF4,125558
333,334,4,70,Godzilla (feat. Juice WRLD),Eminem,46785561,7FIWs0pqAYbP91WWM0vlTQ,210800
334,335,8,68,Blueberry Faygo,Lil Mosey,3816446,6wJYhPfqk3KGhHRG76WzOh,162547
335,336,129,14,Somebody That I Used To Know,"Gotye, Kimbra",2263960,4wCmqSrbyCgxEXROQE6vtV,244973
336,337,4,37,Holy (feat. Chance The Rapper),Justin Bieber,48504126,5u1n1kITHCxxp8twBcZxWy,212093
337,338,200,1,Vida Louca,"Mc Poze do Rodo, Neo Beats, Mainstreet",448447,7IG7laqVpcvIIULrwWP5SA,155676
338,339,15,3,i n t e r l u d e,J. Cole,14097410,08LwMWf5Tcfsd752EPzFV0,133022
339,340,95,1,Butter (Instrumental),BTS,37106176,2Ol2sv6gePRdJrZC1hDVNY,162147
340,341,25,5,Film out,BTS,37106176,3UHPGOkUcE4hE7sqBF4Snt,214621
341,342,106,1,Voilà,Barbara Pravi,75496,1uAOCTevGnyKIDbgZdOCnE,176816
342,343,53,5,Shy Away,Twenty One Pilots,20823062,2nG54Y4a3sH9YpfxMolOyi,175044
343,344,118,1,Saturday,Twenty One Pilots,20823062,60dwJ8dnqZ4WrIdiu7LkNR,172232
344,345,18,2,9 5 . s o u t h,J. Cole,14097410,5R691ipUYRDYW6ehapjoj6,196946
345,346,67,2,Seeing Green (with Drake & Lil Wayne),Nicki Minaj,22161310,1TZv3bujNaYz646eezRE91,339506
346,347,134,1,Dark Side,Blind Channel,121225,1ovFnZv6mUe0LzAbfVqOmh,177790
347,348,137,1,SHUM,Go_A,107553,7mEDVrAHDnQJStDo8jKJJm,172675
348,349,69,4,In the morning,ITZY,2379448,2QdH0rKlV3d9Y6lWzcnlBH,172359
349,350,27,2,l e t . g o . m y . h a n d (with Bas & 6LACK),J. Cole,14097410,0GAyuCo975IHGxxiLKDufB,266291
350,351,2,12,What’s Next,Drake,56308172,3aQem4jVGdhtg116TmJnHz,178154
351,352,154,4,Ramen & OJ,"Joyner Lucas, Lil Baby",1725025,4TIqzdAssasqx3DAe6cG9J,218448
352,353,91,9,Cloud 9,Beach Bunny,618444,6vFsBXYczYsP0H3lgunZOm,147351
353,354,195,1,Tout l'univers,Gjon's Tears,32257,3MvY2XbGYFi6p2dgmdcOYG,183707
354,355,64,10,Headshot (feat. Polo G & Fivio Foreign),Lil Tjay,3553442,4eNOLmx8r2IJAVKvBBL1jv,144349
355,356,198,1,Mask,Dream,727731,3IxMaULfjq4IT2IN6v54PB,174936
356,357,199,1,10 Years,Daði Freyr,169137,4O0LQKVT6hGmVGNwizmydg,166000
357,358,127,2,Choker,Twenty One Pilots,20823062,732E6ibFkQR5lNIPEeiEnx,223066
358,359,25,1,a p p l y i n g . p r e s s u r e,J. Cole,14097410,1d7q712nXjG98HiwHk7HFS,177337
359,360,30,1,1 0 0 . m i l ‘ (with Bas),J. Cole,14097410,4n6NDfYake476trCjJRNl0,163302
360,361,32,1,p u n c h i n ‘ . t h e . c l o c k,J. Cole,14097410,57ZUX6TNyKLBydAdVVd02x,112579
361,362,36,2,t h e . c l i m b . b a c k,J. Cole,14097410,5lLNBIyjp72btcnrjBG751,306257
362,363,48,1,h u n g e r . o n . h i l l s i d e (with Bas),J. Cole,14097410,5BwQjRasNcdRPuVWKcHto2,238972
363,364,55,1,c l o s e,J. Cole,14097410,1D3z6HTiQsNmZxjl7F7eoG,218802
364,365,34,3,WITHOUT YOU (with Miley Cyrus),The Kid LAROI,2230022,1EHUQesfVKwbthtNcpBi9g,161385
365,366,92,3,"Snow Tha Product: Bzrp Music Sessions, Vol. 39","Bizarrap, Snow Tha Product",3126961,3ke6it1vTmHtz2ApcIVUz5,177443
366,367,87,10,Travesuras - Remix,"Nio Garcia, Casper Magico, Ozuna, Wisin & Yandel, Myke Towers, Flow La Movie",2123734,0VWLId2RwPCno9s1cJm2Vy,324426
367,368,148,7,Bubblegum Bitch,MARINA,2918229,0ZFBKLOZLIM16RAUb5eomN,154667
368,369,5,142,Falling,Harry Styles,16112621,1ZMiCix7XSAbfAJlEZWMCp,240133
369,370,182,5,Explícito,Myke Towers,6150675,6qraVL4IJaIj0IuEexYJNa,195066
370,371,58,19,No Te Enamores - Remix,"Milly, Farruko, Nio Garcia, Jay Wheeler, Amenazzy",22718,2mM3gZ0BbPwPPMelbA8vgt,289933
371,372,110,10,PROBLEMA,Daddy Yankee,1250353,7vzPjsX8UzlPKKtV47qGPn,184507
372,373,5,31,Lonely (with benny blanco),Justin Bieber,48504126,4y4spB9m0Q6026KfkAvy9Q,149297
373,374,77,10,Cupid's Chokehold / Breakfast in America,Gym Class Heroes,1275345,2Lhdl74nwwVGOE2Gv35QuK,243773
374,375,38,72,If the World Was Ending - feat. Julia Michaels,JP Saxe,280585,2kJwzbxV2ppxnQoYw4GLBZ,208687
375,376,47,2,"I DID IT (feat. Post Malone, Megan Thee Stallion, Lil Baby & DaBaby)",DJ Khaled,6278835,20GrahbI4AzAOWxpYfDKkf,165366
376,377,61,17,Body,"Russ Millions, Tion Wayne",323203,6uvMKqNlrSvcC4NaKnrwjZ,278085
377,378,10,69,everything i wanted,Billie Eilish,1250353,1OC8hMoqAuWmTWJ4heJNlO,245426
378,379,169,1,What You Need,Don Toliver,1605329,6LcX2hBbXaJcK4AuefE936,217609
379,380,115,9,"L-Gante: Bzrp Music Sessions, Vol.38","Bizarrap, L-Gante",3126961,1Crj1zkRMpsEjb9NOR6Zof,192348
380,381,19,26,HOLIDAY,Lil Nas X,5473565,6zFMeegAMYQo0mt8rXtrli,154998
381,382,71,28,At My Worst,Pink Sweat$,942628,0ri0Han4IRJhzvERHOZTMr,170345
382,383,3,70,Life Is Good (feat. Drake),Future,10488292,5yY9lUy8nbvjM1Uyo1Uqoc,237735
383,384,184,1,Extasy,"187 Strassenbande, Bonez MC, Frauenarzt",1223734,79lc69ZXfL4WmJIzVSDmWT,174021
384,385,7,44,Wishing Well,Juice WRLD,19085118,2U5WueTLIK5WJLD7mvDODv,194621
385,386,164,11,Fan de Tus Fotos,"Nicky Jam, Romeo Santos",14826679,1mauYRwbpoGQX6itP2FAJC,197647
386,387,82,12,Tapão Na Raba,Raí Saia Rodada,1260752,58pgi1RpcU2fVJsxhm7BIr,175047
387,388,66,10,Machu Picchu,"Camilo, Evaluna Montaner",10561047,1LXb70u8SLsvBAPWHMCTMe,179005
388,389,4,44,Come & Go (with Marshmello),Juice WRLD,19085118,2Y0wPrPQBrGhoLn14xRYCG,205485
389,390,71,72,Robbery,Juice WRLD,19085118,6Hj9jySrnFppAI0sEMCZpJ,240051
390,391,199,1,Paradigmas,Jorge & Mateus,15013645,17UfXrL7Run3GyZJW4uRjC,157355
391,392,53,12,SugarCrash!,ElyOtto,85617,2ePtv8MlBO9nuuXABqAfEX,80081
392,393,72,1,durag activity (with Travis Scott),Baby Keem,279741,4JJcP0Rv9AgyPD6ZGaC8EE,225020
393,394,113,1,love race (feat. Kellin Quinn),Machine Gun Kelly,3864419,1F9kEuwT29fgqlovIclu81,188779
394,395,7,40,POPSTAR (feat. Drake),DJ Khaled,6278835,6EDO9iiTtwNv6waLwa1UUq,200221
395,396,122,1,LET IT GO (feat. Justin Bieber & 21 Savage),DJ Khaled,6278835,1cEhrSF6EylAEqdhUGuNpX,165527
396,397,137,1,Girl From Rio,Anitta,10740222,6CF085Ol0cVda1WqelybEQ,195429
397,398,10,8,On The Ground,ROSÉ,1094731,2pn8dNVSpYnAtlKFC8Q0DJ,168086
398,399,20,5,Mr. Perfectly Fine (Taylor’s Version) (From The Vault),Taylor Swift,42227614,2CYVETnhM9aytqrazYYwrK,277592
399,400,42,60,when the party's over,Billie Eilish,1250353,5KWwUzVxubgSPmLIUAQhYt,199931
400,401,63,4,Otra Noche Sin Ti,"J Balvin, Khalid",29051363,2CdTLdDjwZdVcm0bresVWx,228920
401,402,33,5,Met Him Last Night (feat. Ariana Grande),Demi Lovato,20331923,0BI0hfbmqybnd3TezrDME3,204632
402,403,100,11,Back In Blood (feat. Lil Durk),Pooh Shiesty,423237,7JuHVG3qQKQKxC4doneXVW,184490
403,404,94,5,Run It Up (feat. Offset & Moneybagg Yo),Lil Tjay,3553442,1dg3qy5DjoJodawfOCgrTP,232048
404,405,37,31,Mi Niña,"Wisin, Myke Towers, Los Legendarios",6929075,2bgcUk2A3jjKbCJ7KPquTi,213314
405,406,9,6,As I Am (feat. Khalid),Justin Bieber,48544923,6F2r4HgpJnvKDmkN6JEN6J,174406
406,407,150,1,Come Through (feat. Chris Brown),H.E.R.,4138951,3krZxyBsWEHfEfJegYaWTd,214094
407,408,33,24,Goosebumps,HVME,17719446,5uEYRdEIh9Bo4fpjDd4Na9,162803
408,409,18,33,Put Your Records On,Ritt Momney,100463,6AGOKlMZWLCaEJGnaROtF9,210463
409,410,137,13,Facas - Ao Vivo,"Diego & Victor Hugo, Bruno & Marrone",1585593,1ere9b9vDw2N3m9d4uiXxa,196380
410,411,62,28,Train Wreck,James Arthur,8446147,55Am8neGJkdj2ADaM3aw5H,208827
411,412,7,23,Monster (Shawn Mendes & Justin Bieber),Shawn Mendes,33893352,2Z8yfpFX0ZMavHkcIeHiO1,178994
412,413,6,53,In Your Eyes,The Weeknd,35340069,7szuecWAPwGoV1e5vGu8tl,237520
413,414,101,68,SAD!,XXXTENTACION,29566516,3ee8Jmje8o58CHK66QrVC2,166606
414,415,193,1,Good Without,Mimi Webb,130801,15OCqNPYoLziEAsbVnqRj5,182121
415,416,19,66,hot girl bummer,blackbear,4270131,2mt1IqcFyY1zmYZT8Q3xw9,188344
416,417,197,1,When I Was Your Man,Bruno Mars,32603394,0nJW01T7XtvILxQgC5J7Wh,213827
417,418,73,11,LOCATION,"KAROL G, Anuel AA, J Balvin",1250353,1aH3EQY5LTXjRZQLpl1Gby,265240
418,419,177,7,Stressed Out,Twenty One Pilots,20823062,3CRDbSIZ4r5MsZ0YwxuEkn,202333
419,420,72,1,Ski,"Young Stoner Life, Young Thug, Gunna",61930,6755DFiZ7CWe2WMdTGW5C1,152333
420,421,75,1,Diamonds Dancing (feat. Travis Scott),"Young Stoner Life, Young Thug, Gunna",61930,7uZqvqXzzYMKrexKxdcGmd,242600
421,422,8,5,Love Story (Taylor’s Version),Taylor Swift,42227614,6YvqWjhGD8mB5QXcbcUKtx,235767
422,423,107,14,"Ele É Ele, Eu Sou Eu","Wesley Safadão, Os Barões Da Pisadinha",9907270,7EWXP47VlXKO3r7mNxuWHw,155210
423,424,186,1,Quero Ver é Me Esquecer (feat. Jorge) - Ao Vivo,Os Barões Da Pisadinha,4271775,2SUPbyD77tJuOUbqbxct6l,147876
424,425,3,19,willow,Taylor Swift,42227614,0lx2cLdOt3piJbcaXIV74f,214707
425,426,104,16,Why'd You Only Call Me When You're High?,Arctic Monkeys,12375514,086myS9r57YsLbJpU0TgK9,161124
426,427,18,18,Afterglow,Ed Sheeran,1250353,5dA45onYgYACRp8C5xEOS9,185487
427,428,43,29,LA CANCIÓN,"J Balvin, Bad Bunny",29051363,0fea68AdmYNygeTGI4RC18,242573
428,429,52,1,You Belong With Me (Taylor’s Version),Taylor Swift,42227614,1qrpoAMXodY6895hGKoUpA,231124
429,430,54,1,Fearless (Taylor’s Version),Taylor Swift,42227614,77sMIMlNaSURUAXq5coCxE,241592
430,431,68,1,X Gon' Give It To Ya,DMX,2815928,1zzxoZVylsna2BQB65Ppcb,217587
431,432,80,1,Fifteen (Taylor’s Version),Taylor Swift,42227614,2nqio0SfWg6gh2eCtfuMa5,294419
432,433,84,1,The Way I Loved You (Taylor’s Version),Taylor Swift,42227614,22bPsP2jCgbLUvh82U0Z3M,243137
433,434,51,3,You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),Taylor Swift,42227614,5pcjystBtalYeqaiXCcgEY,220839
434,435,93,1,Hey Stephen (Taylor’s Version),Taylor Swift,42227614,550erGcdD9n6PnwxrvYqZT,254255
435,436,102,1,White Horse (Taylor’s Version),Taylor Swift,42227614,5YL553x8sHderRBDlm3NM3,234516
436,437,114,1,Forever & Always (Taylor’s Version),Taylor Swift,42227614,1msEuwSBneBKpVCZQcFTsU,225328
437,438,119,1,Breathe (feat. Colbie Caillat) (Taylor’s Version),Taylor Swift,42227614,7HC7R2D8WjXVcUHJyEGjRs,263377
438,439,139,1,Ruff Ryders' Anthem,DMX,2815928,1BKT2I9x4RGKaKqW4up34s,214440
439,440,146,1,That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault),Taylor Swift,42227614,7eResoqEJJAVTkQYSqvO3P,189496
440,441,147,1,Tell Me Why (Taylor’s Version),Taylor Swift,42227614,0k0vFacOHNuArLWMiH60p7,200576
441,442,148,1,You’re Not Sorry (Taylor’s Version),Taylor Swift,42227614,6iiAfo4wTA2CVC3Uwx9uh8,261843
442,443,40,25,Chica Ideal,"Sebastian Yatra, Guaynaa",1250353,6M3Bdl5UtQtmjnYDW69LZQ,183240
443,444,15,32,Relación - Remix,"Sech, Daddy Yankee, J Balvin, ROSALÍA, Farruko",8758283,35UUpTmrcFXNIVIN26ujXl,247308
444,445,192,1,Don’t You (Taylor’s Version) (From The Vault),Taylor Swift,42227614,4uuEGH5SVuzkkSFjo2DEiY,208609
445,446,195,1,We Were Happy (Taylor’s Version) (From The Vault),Taylor Swift,42227614,34V9RiEPe8MNdU32qJsJa1,244237
446,447,153,2,WACHA,"KHEA, Duki",3198705,5RmSunLqeDqNWww8LWhAiK,206360
447,448,132,1,Dancing With The Devil,Demi Lovato,20338833,2kONpeXXK70YEs7c0UQbmq,243992
448,449,26,4,Gone,ROSÉ,1099480,2dHoVW9AxJVSRebPRyV2aA,207164
449,450,160,3,What Other People Say,"Sam Fischer, Demi Lovato",122746,2h9TDNEXRhcDIV3fsoEVq9,194890
450,451,88,31,Hello (feat. A Boogie Wit da Hoodie),Pop Smoke,6852509,2r6OAV3WsYtXuXjvJ1lIDi,190534
451,452,91,12,Hasta Abajo,"Kevin Roldan, Bryant Myers, Lyanno",4026643,4PEfJZpVjdclfzZ9XO8uDw,229827
452,453,30,37,Take You Dancing,Jason Derulo,9778632,59qrUpoplZxbIZxk6X0Bm3,190306
453,454,28,3,Unstable (feat. The Kid LAROI),Justin Bieber,48544923,137mSruegm1u6x9NvwiagR,158324
454,455,2,48,Stuck with U (with Justin Bieber),Ariana Grande,67208170,4HBZA5flZLE435QTztThqH,228482
455,456,120,15,Hayloft,Mother Mother,2110870,2kS6td1yvmpNgZTt1q5pQq,181680
456,457,191,1,Esquema Preferido (feat. Tarcísio do Acordeon),DJ Ivis,342930,0e6NlGJxYlHvAN8SKxad7N,190680
457,458,75,5,Además de Mí - Remix,"Rusherking, KHEA, Duki, Maria Becerra, LIT killah, Tiago PZK",301217,7I8L3vYCLThw2FDrE6LuzE,330040
458,459,193,3,Payphone,"Maroon 5, Wiz Khalifa",32279979,1LmN9SSHISbtp9LoaR5ZVJ,231387
459,460,50,3,Ghost,Justin Bieber,48544923,6I3mqTwhRpn34SLVafSH7G,153190
460,461,37,3,Off My Face,Justin Bieber,48544923,3T03rPwlL8NVk1yIaxeD8U,156468
461,462,140,13,"Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track",Jack Harlow,1053324,0ZLuW8uOXdFNWcI40C0OC2,227478
462,463,188,3,Take on Me,a-ha,1560784,2WfaOiMkCvy7F5fcp2zZ8L,225280
463,464,45,18,BEBÉ,"Camilo, El Alfa",10580764,7D7EH7MGyNHWSkqrszerI1,198707
464,465,118,1,Richer (feat. Polo G),Rod Wave, , , 
465,466,128,2,Tu Veneno,J Balvin,29067437,5KFHrrBMyGj5MhVbZMM3ts,157320
466,467,49,2,Deserve You,Justin Bieber,48544923,5NU40QTlXrDUJzDBdv79bg,187239
467,468,44,2,2 Much,Justin Bieber,48544923,0oaY19dUwZimIgzn3ZZLZO,152796
468,469,3,66,Tusa,"KAROL G, Nicki Minaj",17792779,7k4t7uLgtOxPwTpFmtJNTY,200960
469,470,34,29,Una Locura,"Ozuna, J Balvin, Chencho Corleone",29238936,5y7DaS3jAc9eZzcSOoUIwU,230693
470,471,61,2,Loved By You (feat. Burna Boy),Justin Bieber,48544923,2tB9OFgAHjAds3cqquLlvp,159250
471,472,181,1,Girls Like Us,Zoe Wees,203555,5SFXOMJJ334Wn2PwBHeRZN,189000
472,473,17,4,Lemon Pepper Freestyle (feat. Rick Ross),Drake,56327031,4FRW5Nza1Ym91BGV4nFWXI,383037
473,474,97,9,Esquema Preferido,"DJ Ivis, Tarcísio do Acordeon",342930,0e6NlGJxYlHvAN8SKxad7N,190680
474,475,105,14,Love Not War (The Tampa Beat),"Jason Derulo, Nuka",9778632,4Lt6GXGzYsa1tgkv3nGSTm,192921
475,476,57,2,Die For You (feat. Dominic Fike),Justin Bieber,48544923,7aely3H8kMj9o0gt6vXHE1,198426
476,477,64,12,Starboy,"The Weeknd, Daft Punk",35340069,7MXVkk9YMctZqd1Srtv4MB,230453
477,478,22,29,La Tóxica,Farruko,10510156,15OjBeqNX3bShsGYQbteRv,180520
478,479,181,3,Coração Na Cama - Ao Vivo,Hugo & Guilherme,435936,2nZj5YymF54qhAu7RneVP6,173227
479,480,60,1,Love You Different (feat. BEAM),Justin Bieber,48544923,27UcQ6dAvQrgH9C880rCM3,186696
